WirelessDeviceId,SequenceNumber,TotalLength,SourceAddress,Range,Status,Event,SenVal,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,LogIndex,Time,Events,PowerSrc,BatteryVolt,Time
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,27,88,null,0,0,0,28062,0,5,5,4,16,190,18,0,1,0,5,4,3,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670072337,0,2,3503,1670072338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,28,88,null,0,0,0,28000,0,4,5,4,-5,95,18,0,1,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670073237,0,2,3503,1670073238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,29,88,null,0,0,0,27937,0,6,4,3,-11,26,10,0,1,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670074137,0,2,3503,1670074138
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,30,88,null,0,0,0,27875,0,5,5,4,-1,24,10,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670075037,0,2,3503,1670075038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,31,88,null,0,0,0,27812,0,6,5,4,9,0,11,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670075938,0,2,3503,1670075938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,32,88,null,0,0,0,27812,0,4,5,4,-2,123,14,0,1,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670076838,0,2,3503,1670076839
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,33,88,null,0,0,0,27750,0,5,5,4,5,0,3,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670077737,0,2,3503,1670077738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,34,88,null,0,0,0,27687,0,4,5,4,-15,49,6,0,1,0,6,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670078637,0,2,3503,1670078638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,35,88,null,0,0,0,27687,0,4,5,4,2,72,11,0,1,0,4,4,3,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1670079537,0,2,3503,1670079538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,36,88,null,0,0,0,27625,0,4,5,4,3,168,7,0,0,0,5,4,3,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670080437,0,2,3503,1670080438
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,37,88,null,0,0,0,27625,0,5,5,4,-2,148,16,0,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670081337,0,2,3503,1670081338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,38,88,null,0,0,0,27562,0,7,5,4,-7,326,12,0,2,0,4,4,3,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1670082237,0,2,3503,1670082238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,39,88,null,0,0,0,27562,0,5,5,4,11,23,9,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670083137,0,2,3503,1670083138
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,40,88,null,0,0,0,27500,0,6,5,4,-8,73,15,0,1,0,5,5,4,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1670084037,0,2,3503,1670084038
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,41,88,null,0,0,0,27437,0,4,5,4,3,46,0,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670084937,0,2,3503,1670084938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,42,88,null,0,0,0,27375,0,6,5,4,-2,122,8,0,1,0,5,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670085837,0,2,3503,1670085838
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,43,88,null,0,0,0,27312,0,5,5,4,-4,0,6,0,1,0,6,5,4,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670086737,0,2,3503,1670086738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,44,88,null,0,0,0,27187,0,6,5,4,-8,47,4,0,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670087637,0,2,3503,1670087638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,45,88,null,0,0,0,27187,0,7,5,4,-4,183,1,0,2,0,7,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670088538,0,2,3503,1670088538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,46,88,null,0,0,0,27062,0,5,4,3,-10,101,8,0,1,0,7,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670089438,0,2,3503,1670089439
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,47,88,null,0,0,0,27062,0,5,4,3,-7,25,8,0,1,0,5,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670090337,0,2,3503,1670090338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,48,88,null,0,0,0,27000,0,6,5,4,-26,231,10,0,1,0,6,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670091237,0,2,3503,1670091238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,49,88,null,0,0,0,27000,0,6,5,4,-8,145,6,0,2,0,4,4,3,0,0,0,0,0,0,8,5,4,0,0,0,0,0,0,1670092137,0,2,3503,1670092138
